Game,Level,Score,TimeStep,TimeMinute
Starter Example Result,,,,
922,2,13320,4440,6.0E-4
923,5,20390,9952,0.00125
924,5,25380,11753,0.0014666666666666667
925,1,7130,2612,3.1666666666666665E-4
926,1,4430,1550,2.1666666666666666E-4
927,2,7330,2707,3.6666666666666667E-4
928,2,8040,5261,6.333333333333333E-4
929,2,6060,2851,3.6666666666666667E-4
930,2,6260,2511,3.1666666666666665E-4
931,4,22040,8780,0.0011166666666666666
932,3,15510,5809,8.166666666666667E-4
933,5,22420,9903,0.0012666666666666666
934,1,6140,2050,2.5E-4
935,7,32980,16275,0.00215
936,4,16150,8693,0.0010833333333333333
937,4,19630,8639,0.0011333333333333334
938,10,51820,22935,0.0029166666666666664
939,1,4760,2127,2.8333333333333335E-4
940,1,4850,1565,1.8333333333333334E-4
941,3,12830,5894,7.166666666666666E-4
942,3,12260,6091,7.5E-4
943,2,11210,4338,6.0E-4
944,2,8970,3467,4.6666666666666666E-4
945,1,6330,2738,3.0E-4
946,1,4810,2506,3.0E-4
947,7,32810,13324,0.0018333333333333333
948,3,16430,7319,9.0E-4
949,1,3780,2181,2.5E-4
950,6,24720,10567,0.0013666666666666666
951,5,24990,10394,0.0013333333333333333
952,5,22990,9375,0.0012833333333333334
953,2,6290,2474,3.1666666666666665E-4
954,4,22460,8337,0.0011
955,5,24630,10611,0.0014333333333333331
956,1,5760,1977,2.3333333333333333E-4
957,1,6680,1440,1.8333333333333334E-4
958,2,6330,2718,3.333333333333333E-4
959,3,16390,4839,6.333333333333333E-4
960,1,9240,1675,2.1666666666666666E-4
961,1,4440,1964,2.3333333333333333E-4
962,1,4640,1992,3.333333333333333E-4
963,1,8780,2688,3.333333333333333E-4
964,2,9210,4047,5.5E-4
965,4,16770,6691,9.0E-4
966,3,16040,6471,8.333333333333334E-4
967,3,16750,5450,7.333333333333333E-4
968,2,5250,2231,3.1666666666666665E-4
969,3,13150,6399,7.666666666666667E-4
970,3,13320,4508,5.666666666666667E-4
971,5,25020,11043,0.0014166666666666668
972,2,7720,4140,5.0E-4
973,2,8540,3654,5.0E-4
974,4,20000,6907,8.833333333333333E-4
975,3,15440,5735,7.0E-4
976,3,16650,5637,6.666666666666666E-4
977,5,24500,9646,0.0012666666666666666
978,3,18200,6448,8.166666666666667E-4
979,4,19850,7872,0.0010666666666666667
980,2,14040,4205,5.333333333333334E-4
981,5,19110,8703,0.0011
982,1,2910,782,1.0E-4
983,2,9260,4086,5.166666666666667E-4
984,2,12540,5587,6.5E-4
985,3,13520,5304,7.166666666666666E-4
986,6,34920,13477,0.0016833333333333333
987,1,6240,1813,2.1666666666666666E-4
988,1,6830,1614,2.1666666666666666E-4
989,5,22370,10156,0.0012833333333333334
990,6,25550,11984,0.0015833333333333333
991,2,7270,3229,4.5E-4
992,2,7510,2693,3.5E-4
993,3,16480,6115,7.833333333333334E-4
994,3,10810,5222,6.666666666666666E-4
995,2,11110,4595,6.0E-4
996,4,19640,6887,9.333333333333333E-4
997,2,13610,5389,6.833333333333333E-4
998,5,26270,9777,0.0012666666666666666
999,2,6660,3527,4.0E-4
